id,smiles,dG,dimenet_0,dimenet_1,dimenet_2,dimenet_3,dimenet_4,dimenet_5,dimenet_6,dimenet_7,dimenet_8,dimenet_9,dimenet_10,dimenet_11,dimenet_12,dimenet_13,dimenet_14,dimenet_15,dimenet_16,dimenet_17,dimenet_18,dimenet_19,dimenet_20,dimenet_21,dimenet_22,dimenet_23,dimenet_24,dimenet_25,dimenet_26,dimenet_27,dimenet_28,dimenet_29,dimenet_30,dimenet_31,dimenet_32,dimenet_33,dimenet_34,dimenet_35,dimenet_36,dimenet_37,dimenet_38,dimenet_39,dimenet_40,dimenet_41,dimenet_42,dimenet_43,dimenet_44,dimenet_45,dimenet_46,dimenet_47,dimenet_48,dimenet_49,dimenet_50,dimenet_51,dimenet_52,dimenet_53,dimenet_54,dimenet_55,dimenet_56,dimenet_57,dimenet_58,dimenet_59,dimenet_60,dimenet_61,dimenet_62,dimenet_63,dimenet_64,dimenet_65,dimenet_66,dimenet_67,dimenet_68,dimenet_69,dimenet_70,dimenet_71,dimenet_72,dimenet_73,dimenet_74,dimenet_75,dimenet_76,dimenet_77,dimenet_78,dimenet_79,dimenet_80,dimenet_81,dimenet_82,dimenet_83,dimenet_84,dimenet_85,dimenet_86,dimenet_87,dimenet_88,dimenet_89,dimenet_90,dimenet_91,dimenet_92,dimenet_93,dimenet_94,dimenet_95,dimenet_96,dimenet_97,dimenet_98,dimenet_99,dimenet_100,dimenet_101,dimenet_102,dimenet_103,dimenet_104,dimenet_105,dimenet_106,dimenet_107,dimenet_108,dimenet_109,dimenet_110,dimenet_111,dimenet_112,dimenet_113,dimenet_114,dimenet_115,dimenet_116,dimenet_117,dimenet_118,dimenet_119,dimenet_120,dimenet_121,dimenet_122,dimenet_123,dimenet_124,dimenet_125,dimenet_126,dimenet_127
mobley_1017962, CCCCCC(=O)OC,-2.49,0.2281342,0.11776223,-0.14031684,-0.06541555,0.051679876,-0.087730065,0.1838612,0.09640788,0.44489744,-0.13090251,0.044923343,0.28872636,0.15882064,0.05210804,-0.040787246,0.044771038,0.03522757,-0.11169133,-0.20351575,-0.001779083,-0.1379296,0.007052927,0.1765578,-0.06562855,-0.0946942,-0.09352491,-0.17649816,-0.084134944,-0.039484803,-0.1772659,-0.13116886,-0.12638217,0.10273207,-0.07023218,-0.040752444,0.18082021,-0.056114715,-0.15206443,0.063423224,-0.11104891,-0.13289616,-0.07911994,0.07667193,-0.060880326,-0.08191605,-0.013386343,-0.12609886,-0.17319484,-0.06322575,-0.08017279,-0.15854414,-0.156359,-0.17953122,0.0051353048,-0.08347474,-0.078376606,-0.06548455,-0.09614796,0.056406222,-0.14569718,-0.16127211,-0.07449945,-0.033015955,0.06210829,-0.02147388,-0.087490685,-0.047085352,-0.0015292667,-0.09069893,0.21963367,0.09464781,0.040111035,0.014197678,-0.1184961,0.15248576,-0.025423672,-0.1443202,0.0646869,-0.07472739,-0.08469202,-0.0798152,-0.10322229,-0.09441678,-0.06131278,-0.017437967,-0.13443029,0.085112676,-0.12876064,-0.021415768,-0.12475808,-0.062426608,-0.07009843,0.034049284,-0.035231058,0.111061715,-0.050427385,-0.15041171,-0.099507086,-0.07068759,-0.118947744,-0.048763536,-0.11396605,0.097716935,-0.09848036,-0.066918395,-0.11945537,0.15605894,0.11346059,-0.049354658,0.10100004,-0.041748274,-0.15431324,-0.0938154,-0.10642557,0.034948837,-0.080011375,-0.07217723,-0.044592924,-0.081458546,-0.16023862,-0.19282101,-0.050348915,-0.013216884,-0.08061542,-0.13814959,-0.120506294,-0.060414463,-0.19481865
mobley_1019269, CCCCO,-4.72,0.1708787,0.11473382,-0.1460192,-0.08915377,0.018305065,-0.11837333,0.19663249,0.08122226,0.46298677,-0.12267593,-0.025368042,0.26137367,0.07533074,0.05311117,-0.017186973,0.043592256,0.024700928,-0.11783024,-0.21928675,0.033598788,-0.16537471,0.012946944,0.23647502,-0.11309113,-0.103859015,-0.13347131,-0.1969287,-0.12089097,-0.056391854,-0.19810073,-0.13156845,-0.13064413,0.056931652,-0.09832803,-0.010330006,0.18164416,-0.07841598,-0.19233674,-0.015932856,-0.08388082,-0.17350926,-0.10782605,0.05406733,-0.058736432,-0.106316045,0.006696205,-0.13056834,-0.19048145,-0.103885174,-0.05875403,-0.15580346,-0.16558538,-0.20475346,0.013606542,-0.115414426,-0.07157142,-0.046731576,-0.1259545,0.035142634,-0.15564306,-0.19646968,-0.12254979,-0.096521094,0.03165715,-0.06787904,-0.11341534,-0.034448206,-0.06555357,-0.13992576,0.251535,0.09045683,-0.03352491,0.05169769,-0.14501005,0.05133893,-0.04250997,-0.14097671,0.12321409,-0.10745349,-0.0914062,-0.097591035,-0.10255511,-0.07097826,-0.059183598,-0.088533856,-0.16801628,0.09842363,-0.15308005,-0.019584509,-0.15982874,-0.09641192,-0.10440896,0.048106015,-0.053517524,0.11102449,-0.08252451,-0.18238708,-0.13427207,-0.10069292,-0.15224808,-0.10454129,-0.15765713,0.069265135,-0.10414847,-0.09310574,-0.13526773,0.21788973,0.12773077,-0.06409912,0.14892688,-0.07577741,-0.15327103,-0.124600105,-0.1415456,0.011280051,-0.12937543,-0.113255136,-0.033666745,-0.115726374,-0.16199847,-0.20830542,-0.08420534,-0.06699122,-0.11570511,-0.1557758,-0.16121459,-0.11633117,-0.20091252
mobley_1034539, c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl,-3.04,0.73695636,0.0038594233,0.09273119,0.35297936,0.42938852,-0.009004384,0.004417742,-0.14737906,0.06776038,-0.0880787,0.23508687,0.854838,0.97106004,0.03476074,-0.11229281,0.28390506,-0.13513906,0.014408996,-0.21540858,-0.18510395,0.0146820955,-0.09780729,-0.13868782,0.21087222,-0.10292542,0.17302649,-0.1470627,-0.17311843,-0.10798261,-0.110102184,0.0074031474,-0.06353734,0.41618785,-0.04146629,-0.16118237,0.063711815,0.2625847,-0.11316862,0.3280671,-0.1666777,0.24621749,0.03213516,0.35055354,-0.11023391,-0.108423464,-0.07536704,-0.07975066,0.014662868,0.23516402,-0.025529267,-0.16266656,-0.19265212,-0.14290011,0.13725056,0.32209632,-0.18306923,-0.15448385,0.20515013,0.3301191,0.12538022,-0.15625896,0.4178354,0.33116645,0.044305548,0.081437476,-0.02598704,-0.15345967,0.31216967,0.18132891,0.22843023,-0.013623601,0.37488574,-0.165942,-0.14897923,1.443609,0.11185727,0.2906495,-0.11511109,0.015832974,-0.08560323,-0.09002964,-0.023107577,0.1314198,-0.06309345,0.3629416,0.023241548,-0.13524319,0.2966589,-0.1437354,0.31504053,0.13352206,-0.13102394,0.14958052,-0.038047947,0.6448351,0.26331398,0.26471055,-0.09618394,0.1617457,0.14392234,0.4968545,0.06372767,0.4984449,-0.015759647,0.40371525,0.012303841,-0.0050216694,-0.044975128,-0.001265053,-0.110540465,0.34474638,-0.2163207,0.22757496,0.18782069,0.28061748,0.14089543,0.38477525,0.0374244,0.08384729,-0.15570398,-0.22005105,-0.1004915,0.25200847,0.002656667,0.20092088,0.081977256,0.47019416,-0.034282997
mobley_1036761, C1CCC(CC1)N,-4.59,0.24917153,0.11933005,-0.14683734,-0.089411676,0.031609807,-0.13661005,0.18141791,0.024708102,0.46080726,-0.13687475,0.02286003,0.30164313,0.12979446,0.03551194,-0.023107145,0.031742364,-0.022064313,-0.09317829,-0.21832249,0.005681176,-0.16245086,-0.0034876517,0.1962268,-0.096554875,-0.11829785,-0.12692228,-0.18735352,-0.12604317,-0.085332796,-0.19298004,-0.1301206,-0.097173735,0.102117956,-0.09810653,-0.026204843,0.14974304,-0.0931157,-0.1662225,-0.001841012,-0.08174272,-0.19683665,-0.0805073,0.08570923,-0.05553273,-0.07263485,-0.03362427,-0.13340184,-0.18320271,-0.08328399,-0.067381375,-0.16390859,-0.18916555,-0.20663318,0.027659047,-0.11002853,-0.11464453,-0.07076144,-0.11635371,0.061347526,-0.13918327,-0.22988519,-0.12202533,-0.09340152,0.026982972,-0.025854567,-0.109786846,-0.02381069,-0.028020214,-0.153725,0.25949952,0.038184512,-0.02454139,0.050742667,-0.21234114,0.07968356,-0.01953137,-0.14956132,0.09019561,-0.09706993,-0.107684925,-0.088602684,-0.10346006,-0.08318689,-0.09599919,-0.0946825,-0.17268328,0.0649685,-0.18556789,-0.053346563,-0.15811571,-0.10132191,-0.11044212,0.073631525,-0.06665636,0.09906,-0.08738016,-0.17766272,-0.17262144,-0.081351295,-0.13667107,-0.06242187,-0.15895751,0.084140204,-0.09098716,-0.097387485,-0.08766397,0.19973439,0.16002303,-0.061681636,0.14055994,-0.08841489,-0.14640734,-0.11212554,-0.13059619,0.018156065,-0.10829531,-0.11628096,-0.056934662,-0.10873548,-0.15210252,-0.2192539,-0.11911346,-0.05962535,-0.12087987,-0.14180157,-0.1970472,-0.07997766,-0.17845732
mobley_1046331, c1ccc(cc1)OC=O,-3.82,0.42604202,0.058288846,-0.10690093,0.02199444,0.16494949,0.023312334,0.11460728,0.08333508,0.29691926,-0.1263023,0.22761856,0.3751792,0.4836479,0.0035640304,-0.09214963,0.0034478733,0.034890108,-0.08063458,-0.1752851,-0.11311145,-0.03433453,0.004994867,0.0006552855,0.09217613,-0.09909553,0.033932198,-0.12785567,-0.08970768,-0.08736829,-0.10089842,-0.16997539,-0.10255452,0.25416422,-0.055652864,-0.12618282,0.14650376,-0.027111301,-0.054621235,0.29192132,-0.17751797,-0.02360807,0.0423043,0.14372145,-0.10493306,-0.034686804,-0.04469663,-0.1352817,-0.11325296,0.09759431,-0.14004357,-0.17294377,-0.14177005,-0.11435128,-0.06832411,0.031738732,-0.10499131,-0.13694414,0.007744367,0.068422586,-0.13250284,-0.08618536,0.046443813,0.14444809,0.15740724,0.09008889,-0.043550603,-0.08492633,0.17739776,0.019330055,0.05794502,0.08947968,0.22255336,-0.07840549,-0.041449897,0.5321818,0.05089055,-0.15210445,-0.076336585,0.04901465,-0.04537597,-0.036189854,-0.07888933,-0.15143079,-0.08311273,0.14606334,-0.07206106,0.039008114,-0.046353545,-0.045203306,-0.009132695,0.0671878,-0.03823947,0.0041510253,0.040502585,0.10373141,0.10066731,-0.04898312,-0.014974862,0.05545286,-0.052719634,0.14223291,0.010397943,0.20286022,-0.08129328,0.051354393,-0.0786129,-0.0020006935,0.047369525,-0.023208028,-0.01996157,0.12338249,-0.18543792,0.058301378,0.018844748,0.120402046,0.057079695,0.06440367,-0.07002019,0.06415172,-0.14288627,-0.14814025,0.03311807,0.20759106,0.033322673,-0.061552767,-0.00013950963,0.0988878,-0.16379057
mobley_1075836, CCC(=O)OC,-2.93,0.16796473,0.11170641,-0.1248371,-0.08831235,0.06867356,-0.065852426,0.17538764,0.1501367,0.4174292,-0.12123282,0.04169837,0.23802292,0.14291611,0.06934852,-0.03931273,0.03923879,0.09286883,-0.1173191,-0.17915945,-0.007085941,-0.123395935,0.01963302,0.18258287,-0.07545334,-0.07156634,-0.05088083,-0.14214358,-0.034654956,0.020752085,-0.16327836,-0.13201557,-0.10509038,0.06914039,-0.041892577,-0.0495748,0.17330384,-0.027455559,-0.11691489,0.061206046,-0.12138771,-0.067942634,-0.06933818,0.044809174,-0.05774596,-0.07827958,0.014350188,-0.10524015,-0.14819793,-0.059233498,-0.075587615,-0.1605037,-0.12705642,-0.15178163,-0.014281333,-0.09062101,-0.035297967,-0.064748295,-0.10865654,0.068425335,-0.13232353,-0.089390025,-0.04701359,-0.0072434256,0.086426415,-0.041033868,-0.04311777,-0.05619932,-0.041329317,-0.06906887,0.16978307,0.13942535,0.060010467,-0.024700021,-0.03381774,0.13837638,-0.06365801,-0.14900625,0.051209718,-0.055744253,-0.05262617,-0.05338698,-0.085650526,-0.10344875,-0.020384606,0.030096734,-0.10670874,0.09996051,-0.08806728,0.0070895934,-0.11534854,-0.053699076,-0.006669447,-0.010136,-0.0018105981,0.11191827,-0.053968433,-0.12678325,-0.03443516,-0.056158476,-0.10346868,-0.052955538,-0.08149608,0.0980221,-0.097227216,-0.0649314,-0.13046676,0.12177384,0.08267067,-0.015471953,0.08073781,-0.030201409,-0.15564565,-0.096513845,-0.09919498,0.063196905,-0.068405114,-0.05576976,-0.04665597,-0.07013284,-0.15178858,-0.16428328,0.0051694214,-0.018698394,-0.041781668,-0.14443438,-0.06908042,-0.08741728,-0.1997759
mobley_1079207, c1cc(cc(c1)Cl)Cl,-0.98,0.57057863,0.024882711,0.009332874,0.11723111,0.27863255,-0.07225279,0.06294048,-0.084667616,0.18549585,-0.101108305,0.16243134,0.662942,0.67333794,0.015221618,-0.075507104,0.1932074,-0.10282328,-0.0026611711,-0.21619897,-0.14024915,-0.025088763,-0.05971068,-0.06847095,0.08699962,-0.14128418,0.062134176,-0.16278063,-0.15144105,-0.11765305,-0.14921016,-0.043637764,-0.09156731,0.3145102,-0.04330002,-0.12152865,0.10453699,0.11766852,-0.15101917,0.20644991,-0.15373358,0.06385892,-0.013258702,0.26423478,-0.07340246,-0.09477478,-0.042791296,-0.0936637,-0.060077924,0.12920536,-0.055550203,-0.1629385,-0.1772462,-0.16159737,0.08179154,0.15570582,-0.15877792,-0.1263812,0.093706585,0.22114706,0.031350594,-0.17975612,0.21638946,0.16127548,0.052698735,0.07428763,-0.069542065,-0.12157061,0.18807088,0.04019575,0.20770466,0.013151052,0.21881871,-0.11535871,-0.15379561,0.86693144,0.075521,0.10515398,-0.05573526,-0.01612495,-0.13174167,-0.06453932,-0.044553548,0.038457662,-0.050039556,0.1907783,-0.053129014,-0.06604361,0.089535326,-0.09835589,0.12159317,0.069650464,-0.12099937,0.1190194,-0.036861073,0.4652044,0.107491754,0.17444485,-0.11936495,0.07982648,0.068484865,0.30097803,-0.029674634,0.37052318,-0.040563624,0.22443861,-0.0058559873,0.05325851,0.026542237,-0.0062938314,-0.044627815,0.17312942,-0.2075774,0.10924516,0.06630543,0.19226283,0.04874746,0.20173468,0.010828185,0.015191044,-0.14520966,-0.22749136,-0.09656026,0.13206695,-0.024071239,0.031485472,-0.024276212,0.24256122,-0.07687805
mobley_1107178, CCI,-0.74,0.19006069,0.019469973,-0.16542302,-0.10717132,-0.020773884,-0.13761829,0.09502207,0.023259439,0.4401104,-0.12718473,-0.11351025,0.23181316,0.012579318,0.12705201,0.005803095,-0.0018988769,0.061581403,-0.10811296,-0.22922601,0.027497053,-0.16009967,0.07694582,0.24024467,-0.15315147,-0.10182312,-0.061004907,-0.115919665,-0.09393841,-0.004622187,-0.20072539,-0.050392497,-0.11096272,0.014562147,-0.082352884,0.036951598,0.17901035,0.020451754,-0.16558178,-0.07054383,-0.102257766,-0.1445022,-0.1211651,0.058039207,0.033808056,-0.13987991,0.032538544,-0.13616014,-0.15542969,-0.12268774,-0.06697763,-0.13328253,-0.07941815,-0.19236156,0.08212173,-0.07039341,-0.11659382,0.028925486,-0.15333687,-0.013820583,-0.16551246,-0.22623797,-0.100278825,-0.16387443,-0.018630994,-0.057914704,-0.14489362,-0.0032800282,-0.032467015,-0.18403499,0.18814763,0.04779226,-0.13495266,0.14736624,-0.18432252,-0.035701744,-0.061213117,-0.15488762,0.27798286,-0.07167038,-0.12603588,-0.13433534,-0.11081086,-0.09495088,-0.052313022,-0.12268714,-0.21604145,0.20166725,-0.13788363,-0.030324109,-0.08214842,-0.1360341,-0.11389731,0.0017736284,-0.021178348,0.032021042,-0.09434131,-0.13752991,-0.2277314,-0.09099437,0.018070608,-0.13885522,-0.1463185,0.10853756,-0.05905066,-0.12965235,-0.13229734,0.15949018,0.06605167,-0.10997951,0.2182961,-0.1117854,-0.17926538,-0.12512799,-0.1647663,-0.015354016,-0.20501444,-0.07848981,-0.057361055,-0.12683722,-0.122685805,-0.24744484,-0.119748406,-0.046323836,0.012809224,-0.18144038,-0.13439795,-0.08435145,-0.08903758
mobley_1139153, CC(C)CC(C)(C)C,2.89,0.2551059,0.13791598,-0.15657584,-0.08396871,0.006951645,-0.14528711,0.2063004,0.033730637,0.50579494,-0.13715528,0.011805752,0.3176389,0.1142172,0.03293951,-0.03223529,0.06877012,-0.03500048,-0.107508406,-0.23656914,0.020675818,-0.16464648,-0.0010161211,0.18825763,-0.08943923,-0.12711054,-0.15963854,-0.21562189,-0.13191149,-0.088268444,-0.20992237,-0.12278071,-0.1536675,0.104787536,-0.10300933,-0.015831161,0.19615936,-0.09382459,-0.20870759,0.015398432,-0.09835113,-0.21709244,-0.10667238,0.109171644,-0.05008312,-0.07870234,-0.029165357,-0.14842632,-0.21522133,-0.09737695,-0.07852077,-0.15113468,-0.19613817,-0.21555138,0.042386338,-0.09916897,-0.12121523,-0.045461,-0.11106856,0.04984677,-0.15655074,-0.25090843,-0.12865111,-0.11090445,0.021748621,-0.01903661,-0.13997181,-0.025008656,0.00088231725,-0.13987471,0.3022885,0.05185447,-0.013174964,0.072025135,-0.21524723,0.07930079,0.00085045025,-0.14462198,0.10934891,-0.12600614,-0.11453135,-0.10766428,-0.124112524,-0.07946539,-0.10288855,-0.094285935,-0.17293641,0.07477594,-0.1871906,-0.055104688,-0.16116923,-0.09624655,-0.15597646,0.09056016,-0.089116015,0.10910031,-0.08659688,-0.19216481,-0.20001456,-0.09867336,-0.14753892,-0.086502224,-0.16871236,0.08904762,-0.098828465,-0.09434635,-0.10700738,0.22224048,0.14535569,-0.08154996,0.14115177,-0.09044698,-0.1539243,-0.11830319,-0.13559367,-0.0041328967,-0.12328851,-0.124199994,-0.039440036,-0.12561792,-0.16460401,-0.247677,-0.13510956,-0.05625689,-0.13939476,-0.15287112,-0.18940479,-0.06649927,-0.19404252
mobley_1144156, CCOCC,-1.59,0.15608771,0.1279968,-0.14804189,-0.09853108,0.011484772,-0.12440976,0.20281073,0.08989908,0.47117618,-0.1275929,-0.02193319,0.25015056,0.06471306,0.06031747,-0.013396605,0.061898675,0.042170815,-0.12310917,-0.21474555,0.029370112,-0.15952447,0.01407235,0.23081496,-0.10976045,-0.09923569,-0.12581626,-0.18804422,-0.096490115,-0.02501863,-0.19749139,-0.12536699,-0.1299203,0.045014273,-0.09012666,-0.008574142,0.18255979,-0.07323822,-0.18520097,-0.01652078,-0.095162034,-0.16252483,-0.11041704,0.05339005,-0.050545935,-0.103728436,0.012962205,-0.12413058,-0.19166525,-0.10309041,-0.06285273,-0.15675892,-0.16527067,-0.19727716,0.022337882,-0.11395306,-0.06383619,-0.04205831,-0.12696101,0.046868496,-0.15320778,-0.18298587,-0.11361222,-0.09388015,0.040324155,-0.066139065,-0.11006532,-0.035553392,-0.06368979,-0.13745587,0.25118062,0.09872089,-0.032257695,0.037867453,-0.13011123,0.045098383,-0.054187663,-0.14350867,0.123390034,-0.106463745,-0.09581942,-0.096333295,-0.10838314,-0.06827809,-0.053350113,-0.06835012,-0.1571961,0.10021843,-0.15411386,-0.021557607,-0.16037649,-0.09815998,-0.09335734,0.03984193,-0.05320009,0.11510692,-0.08874889,-0.17963013,-0.13455628,-0.09438034,-0.14414386,-0.10338256,-0.14902698,0.07444693,-0.09876726,-0.09974079,-0.13075231,0.21029823,0.1137152,-0.053816233,0.14038914,-0.08549939,-0.15239148,-0.13009118,-0.14037226,0.017573813,-0.12908514,-0.11410633,-0.033233136,-0.11868814,-0.16387686,-0.20963128,-0.07498638,-0.06823997,-0.105848074,-0.1596071,-0.15351366,-0.11296129,-0.1987105
