id,smiles,dG,dimenetpp_0,dimenetpp_1,dimenetpp_2,dimenetpp_3,dimenetpp_4,dimenetpp_5,dimenetpp_6,dimenetpp_7,dimenetpp_8,dimenetpp_9,dimenetpp_10,dimenetpp_11,dimenetpp_12,dimenetpp_13,dimenetpp_14,dimenetpp_15,dimenetpp_16,dimenetpp_17,dimenetpp_18,dimenetpp_19,dimenetpp_20,dimenetpp_21,dimenetpp_22,dimenetpp_23,dimenetpp_24,dimenetpp_25,dimenetpp_26,dimenetpp_27,dimenetpp_28,dimenetpp_29,dimenetpp_30,dimenetpp_31,dimenetpp_32,dimenetpp_33,dimenetpp_34,dimenetpp_35,dimenetpp_36,dimenetpp_37,dimenetpp_38,dimenetpp_39,dimenetpp_40,dimenetpp_41,dimenetpp_42,dimenetpp_43,dimenetpp_44,dimenetpp_45,dimenetpp_46,dimenetpp_47,dimenetpp_48,dimenetpp_49,dimenetpp_50,dimenetpp_51,dimenetpp_52,dimenetpp_53,dimenetpp_54,dimenetpp_55,dimenetpp_56,dimenetpp_57,dimenetpp_58,dimenetpp_59,dimenetpp_60,dimenetpp_61,dimenetpp_62,dimenetpp_63,dimenetpp_64,dimenetpp_65,dimenetpp_66,dimenetpp_67,dimenetpp_68,dimenetpp_69,dimenetpp_70,dimenetpp_71,dimenetpp_72,dimenetpp_73,dimenetpp_74,dimenetpp_75,dimenetpp_76,dimenetpp_77,dimenetpp_78,dimenetpp_79,dimenetpp_80,dimenetpp_81,dimenetpp_82,dimenetpp_83,dimenetpp_84,dimenetpp_85,dimenetpp_86,dimenetpp_87,dimenetpp_88,dimenetpp_89,dimenetpp_90,dimenetpp_91,dimenetpp_92,dimenetpp_93,dimenetpp_94,dimenetpp_95,dimenetpp_96,dimenetpp_97,dimenetpp_98,dimenetpp_99,dimenetpp_100,dimenetpp_101,dimenetpp_102,dimenetpp_103,dimenetpp_104,dimenetpp_105,dimenetpp_106,dimenetpp_107,dimenetpp_108,dimenetpp_109,dimenetpp_110,dimenetpp_111,dimenetpp_112,dimenetpp_113,dimenetpp_114,dimenetpp_115,dimenetpp_116,dimenetpp_117,dimenetpp_118,dimenetpp_119,dimenetpp_120,dimenetpp_121,dimenetpp_122,dimenetpp_123,dimenetpp_124,dimenetpp_125,dimenetpp_126,dimenetpp_127
mobley_1017962, CCCCCC(=O)OC,-2.49,-0.094158806,-0.09727173,-0.057357717,0.036286674,0.010094795,0.086668104,0.049339384,-0.043409582,-0.15530163,0.21459109,-0.094156645,0.01882228,0.09629753,0.16817309,-0.08385659,-0.029677399,-0.12908405,-0.06007738,-0.13176031,-0.16866751,-0.15261066,-0.10129936,-0.14173466,-0.05403197,-0.014484281,-0.047856573,-0.09747262,-0.09932076,-0.067810595,-0.0086925775,0.04003639,-0.22088656,-0.19552507,-0.111423776,0.14467013,-0.04034209,0.025544338,-0.07002925,-0.07089292,0.04791256,-0.07884947,0.011358271,-0.110562116,-0.19980869,-0.040024284,-0.11930221,-0.21131462,-0.10994037,-0.06285372,0.16358948,0.11472688,-0.14919454,-0.034370393,0.013567808,-0.009799329,0.04174624,-0.13991109,-0.030788165,0.08829356,-0.1307304,-0.06437615,-0.07253835,-0.012301335,-0.09256076,-0.078512385,-0.11006917,-0.076239064,-0.032315224,-0.07745715,-0.04617804,-0.0033588011,0.028582226,-0.016059602,-0.13125272,-0.09556129,-0.16368006,-0.02669355,0.33363572,-0.13189927,-0.16630784,0.011254108,0.096871935,-0.17987289,-0.108604014,-0.11895066,-0.14948031,-0.089440614,-0.23309888,0.079188,-0.19018824,-0.058981128,-0.14100304,-0.049543906,-0.121865086,0.01534847,-0.16536495,0.065219715,-0.05968454,0.08316145,0.19327557,-0.16697967,0.11592671,-0.035681605,0.09309835,0.01230449,0.13065757,-0.071907975,0.013371994,-0.18173645,0.07172585,0.061207782,-0.10667685,-0.007544415,-9.643837e-05,0.1709179,-0.07828736,0.065123305,-0.15177326,0.03742129,0.08204864,-0.041505277,0.096155375,-0.08054596,-0.10791572,-0.11193003,-0.2060755,-0.118678205,0.019722775
mobley_1019269, CCCCO,-4.72,-0.12881489,-0.10924102,-0.0707429,0.07041611,0.011415351,0.102607794,0.0778682,-0.028825896,-0.17998157,0.28060517,-0.06866409,-0.028065871,0.15695296,0.20760983,-0.12241601,-0.02956554,-0.11131847,-0.08609334,-0.15103692,-0.18871649,-0.16063304,-0.117252804,-0.1457849,-0.071775764,0.0014137417,-0.07408729,-0.1275424,-0.0931745,-0.10927697,0.025598776,0.010549231,-0.21556343,-0.20919986,-0.10616027,0.044722848,-0.09231735,0.017459217,-0.12246332,-0.11974222,0.044924684,-0.06823179,0.061763667,-0.12378074,-0.20224324,-0.09761412,-0.13449922,-0.22647908,-0.13826993,-0.037856974,0.05857348,0.09672631,-0.14980738,-0.010420857,-0.028430728,-0.07399146,0.07644952,-0.12706175,-0.07926747,0.15141776,-0.14597581,-0.06289223,-0.08233781,-0.06846207,-0.11001142,-0.08191526,-0.15202737,-0.08799503,-0.038664922,-0.10790862,-0.095591076,0.015231392,-0.016704733,-0.023155093,-0.13738088,-0.1062405,-0.17343862,-0.026454253,0.40491498,-0.13778639,-0.19812255,-0.06533902,0.16231993,-0.17777902,-0.118854366,-0.10482647,-0.15261818,-0.1252304,-0.23677583,0.01291847,-0.19990413,-0.04952472,-0.13426377,-0.08455943,-0.15357274,0.01413657,-0.18356085,0.017060092,-0.03886483,0.11607949,0.086016804,-0.19367734,0.13238898,-0.08066886,0.08758795,-0.0018088003,0.1522515,-0.12092742,0.05157695,-0.19875357,0.096973196,-0.0025052656,-0.113209285,-0.07067381,-0.013750851,0.21624388,-0.11612783,0.10948681,-0.18217672,0.045487776,-0.004814879,0.0047017965,0.15735975,-0.12440218,-0.12846817,-0.11718229,-0.21963316,-0.12167656,-0.04931719
mobley_1034539, c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl,-3.04,-0.09892761,-0.09848599,0.0481778,-0.1373963,-0.08091952,-0.11434765,-0.14834474,0.26572764,0.041034073,-0.039470714,-0.11560731,0.35064638,-0.1862317,-0.09883013,0.22278419,-0.1632636,-0.15530026,0.37578252,0.21333767,0.062453724,-0.08377514,-0.13029025,-0.18392497,-0.021015484,-0.11750054,0.10521024,-0.011988237,-0.15593363,0.4092393,-0.17143564,0.42739198,-0.13780932,0.029952563,-0.1540694,0.89890385,0.11315815,0.30208403,0.07035326,0.35369712,0.20999637,-0.19478048,-0.1459535,0.1981882,-0.18844332,0.34046474,0.18682875,-0.23480526,0.13519563,0.027353995,1.1236857,0.35729197,-0.09322429,-0.13670176,0.8115122,0.59457046,-0.06826994,-0.14049096,0.24862708,-0.16971539,-0.16778904,-0.12101877,0.2922816,0.21540886,-0.13768572,0.25945354,0.5027249,-0.01859355,0.12303818,0.24006261,0.040460434,0.027982604,0.31054235,-0.017504757,-0.1339476,0.38547957,-0.20716973,0.08047111,-0.01557662,-0.13040002,-0.04526026,0.4658744,-0.16402952,-0.21893129,0.20464984,0.053221915,0.07475312,0.22095118,-0.21327688,0.28316337,-0.15633346,-0.082103975,-0.01177895,0.5492267,-0.044578087,-0.013741484,-0.09094548,0.64217144,-0.13206936,-0.15413243,1.3513162,-0.06203516,-0.07757203,0.40622035,-0.055675674,-0.122016996,-0.20294069,0.6365683,-0.15480903,-0.07120171,-0.14125213,0.5459178,-0.09141305,0.5108621,0.12905885,-0.019661056,0.29489267,-0.17542297,-0.12686527,0.075468704,0.6111211,-0.1585504,-0.15070926,0.09301825,-0.12559187,0.26945207,-0.19061655,0.33478877,0.30081835
mobley_1036761, C1CCC(CC1)N,-4.59,-0.13599117,-0.11985807,-0.078628756,0.039485056,-0.009056237,0.072248735,0.08178468,-0.016537411,-0.17941856,0.24225739,-0.07032332,-0.00795736,0.12927756,0.1823676,-0.10535388,-0.016715964,-0.1440899,-0.039802,-0.13527042,-0.20412889,-0.19158086,-0.11923299,-0.14664505,-0.024682706,-0.026932638,-0.09642767,-0.11318257,-0.105396904,-0.1170339,0.005153051,0.063814126,-0.21325846,-0.22569859,-0.11521999,0.10160805,-0.060652625,0.040050384,-0.10260377,-0.120602265,0.0703087,-0.07645879,0.042546846,-0.11474712,-0.20150614,-0.08759636,-0.14127812,-0.2472312,-0.10837078,-0.06354943,0.11417595,0.1312426,-0.15612516,-0.045481745,-0.0031636655,-0.041405983,0.06044351,-0.13378796,-0.10577421,0.13830943,-0.16242939,-0.048073936,-0.07332219,-0.07024236,-0.112346195,-0.06511874,-0.12525035,-0.06308888,-0.063525245,-0.10767977,-0.096702196,0.0035349666,0.029577453,0.037659448,-0.12654167,-0.11015163,-0.19818045,-0.00440621,0.41611308,-0.09108471,-0.22851288,-0.008038117,0.1648813,-0.17496644,-0.1031758,-0.12014226,-0.15793447,-0.10399922,-0.21129048,0.03567391,-0.22351246,-0.062215287,-0.13934854,-0.079160795,-0.17374158,0.012816687,-0.16102353,0.01651224,-0.045866705,0.109022155,0.1289493,-0.222175,0.10151055,-0.041430354,0.09373476,0.0067469203,0.10660036,-0.08078976,0.037636194,-0.24407391,0.034241207,-0.004005243,-0.10551325,-0.038278203,-0.005711769,0.24113043,-0.110551395,0.09404474,-0.18525937,0.016086057,0.051449783,-0.01925838,0.14068022,-0.10623248,-0.13610667,-0.113335826,-0.21173084,-0.102530316,-0.04123842
mobley_1046331, c1ccc(cc1)OC=O,-3.82,-0.033190526,-0.066427246,-0.049482208,-0.060514554,-0.04693346,0.037472546,-0.054020006,-0.090575226,-0.065568104,0.06011454,-0.1530067,0.24543808,-0.07407338,0.04227575,0.023803754,-0.05162084,-0.16552939,0.07459864,-0.05868451,-0.10753548,-0.16269353,-0.065987736,-0.15722443,0.017733851,-0.07912312,0.111653045,-0.014449989,-0.14170371,0.036687735,-0.09726521,0.075619616,-0.23248996,-0.20071672,-0.09440761,0.4504269,0.12277885,0.0295416,0.07223029,0.099316254,0.037627146,-0.12406775,-0.105563134,-0.0032082757,-0.19293983,0.14452901,-0.055875774,-0.17027092,-0.037391797,-0.12192185,0.5280373,0.17713425,-0.15277147,-0.1148173,0.23829578,0.21015601,-0.044737544,-0.18150443,0.16240582,-0.06266018,-0.11845284,-0.057333365,-0.0020152458,0.16399498,-0.04969543,0.007382217,0.021327,-0.007412519,-0.024559844,0.06853612,0.051833883,-0.051934775,0.19644,0.008731295,-0.12259158,-0.028373701,-0.119668856,-0.02547872,0.12107546,-0.08745019,-0.11422981,0.21917287,-0.063502155,-0.1867645,-0.07516835,-0.15336603,-0.11240029,0.033572257,-0.2117533,0.3082221,-0.14537893,-0.12009573,-0.14614275,0.12290978,-0.052553985,-0.02065451,-0.12334634,0.35845914,-0.12613127,-0.04666652,0.61746734,-0.100063615,0.0035272858,0.1585016,0.032342132,0.002925108,0.08230295,0.07000634,-0.11209761,-0.116098806,-0.04319198,0.3281331,-0.0893713,0.21318014,0.027822997,-0.017950837,0.08305058,-0.068689115,-0.12265762,-0.025523853,0.3801069,-0.13881415,-0.049049918,0.027502753,-0.088538066,-0.0666407,-0.15956281,-0.09688279,0.22983254
mobley_1075836, CCC(=O)OC,-2.93,-0.04843374,-0.08251967,-0.03817333,0.027693199,0.034574218,0.1358356,0.006937603,-0.058013104,-0.14078042,0.1791898,-0.10658298,0.0070687043,0.062113516,0.12986736,-0.08764426,-0.0074395393,-0.115374625,-0.07401555,-0.14934699,-0.12865265,-0.10026366,-0.058505747,-0.11414411,-0.049263325,-0.008562787,-0.0085368175,-0.07957427,-0.085457645,-0.033108734,0.0079441825,-0.014357435,-0.21851783,-0.17364089,-0.09547429,0.13945374,-0.030481981,-0.0005150639,-0.066778004,-0.05376828,0.04014016,-0.06748814,-0.013006702,-0.10858911,-0.20110798,-0.04166403,-0.13036522,-0.1716953,-0.10964404,-0.05712368,0.13237952,0.060149763,-0.14577845,-0.021375226,0.0009066782,-0.025054978,0.0493319,-0.14629257,0.0010078655,0.03601671,-0.08342998,-0.0731563,-0.07913296,0.017403955,-0.044122998,-0.08826651,-0.11783253,-0.062389977,-0.019279774,-0.07195306,-0.042911503,-0.008531771,-0.0047570574,-0.058723707,-0.1426116,-0.100662485,-0.14113002,-0.03792112,0.23471098,-0.12513782,-0.104240775,0.020772124,0.057940066,-0.17930415,-0.1074471,-0.11994443,-0.1432556,-0.11539773,-0.23224011,0.0951683,-0.15716505,-0.04811359,-0.12627779,-0.044924643,-0.089013204,0.039950605,-0.1544825,0.09281943,-0.072624035,0.06185027,0.15727854,-0.10313736,0.11912196,-0.058357902,0.10234891,0.044775724,0.16261283,-0.10871223,0.0045376676,-0.12625338,0.09267433,0.0682259,-0.10942925,-0.015980197,-0.01286079,0.12200308,-0.07517825,0.05426571,-0.10394732,0.048893962,0.08791264,-0.05546975,0.06128686,-0.06987289,-0.074773304,-0.119833365,-0.17101559,-0.1350043,0.025534576
mobley_1079207, c1cc(cc(c1)Cl)Cl,-0.98,-0.10567167,-0.076772906,-0.0064924173,-0.07638435,-0.043586183,-0.0678178,-0.090199046,0.15922247,-0.024720766,0.051961735,-0.08335785,0.23675756,-0.110948004,0.0030757512,0.100736916,-0.13463092,-0.16323723,0.19930662,0.046433687,-0.07557076,-0.103811085,-0.12168181,-0.17577648,-0.012642435,-0.08922371,0.005149454,-0.046693992,-0.12801924,0.18873322,-0.1303129,0.28366077,-0.16872032,-0.065258086,-0.15299296,0.5835729,0.049932048,0.19774915,0.004825145,0.17932515,0.16493718,-0.16094817,-0.09071672,0.11686351,-0.18971632,0.21031499,0.0061821467,-0.23525171,0.060408633,-0.005780481,0.7851463,0.29109287,-0.14079194,-0.12019619,0.5293045,0.31971306,-0.03229725,-0.15713765,0.12286676,-0.089513004,-0.13976021,-0.053065937,0.15697037,0.12709628,-0.12890555,0.12867995,0.2788494,-0.007860267,0.057806063,0.10559243,0.018361723,0.03806096,0.23947465,-0.018311145,-0.09974954,0.14352553,-0.21096112,0.09079296,0.11631644,-0.10783129,-0.12647612,0.33304027,-0.10397192,-0.20675628,0.11851981,0.037863005,-0.016390825,0.11937502,-0.2116751,0.20760782,-0.18563788,-0.08810488,-0.04724298,0.2872786,-0.08439332,0.005193138,-0.11809663,0.39184794,-0.106747545,-0.08402881,0.8462224,-0.14544071,-0.017712563,0.26210555,-0.01625372,-0.070110224,-0.13336502,0.37523448,-0.10783378,-0.11738825,-0.105582416,0.33075517,-0.08452987,0.27833018,0.09082223,0.053035676,0.151897,-0.10676113,-0.12957034,0.061406594,0.40621033,-0.11886814,-0.06874346,0.025662594,-0.10532659,0.092835926,-0.2001868,0.1343414,0.18667941
mobley_1107178, CCI,-0.74,-0.060916755,-0.120941564,-0.047037292,0.10396269,-0.026551543,0.09279965,0.0688243,-0.026635021,-0.1239665,0.27000743,-0.008270635,0.059567273,0.19879033,0.43735254,0.027680423,-0.08216967,-0.11147954,-0.07725046,-0.03544303,-0.21987501,-0.18187171,-0.13019116,-0.10333245,-0.03510201,-0.00011578761,-0.102991,-0.038926084,-0.1177626,-0.12949914,-0.022416025,-0.021745967,-0.17094831,-0.20305896,-0.12778197,0.0296275,-0.108884215,0.12738766,-0.071073875,-0.12592939,-0.028501041,-0.0013737278,0.11726492,-0.06738108,-0.06940516,-0.13526516,-0.13163474,-0.21960886,-0.09833646,0.09914321,-0.0052254535,0.112951286,-0.15308318,0.07196887,-0.0058184713,-0.07948201,0.06413002,-0.09851636,-0.048544556,0.13694201,-0.039809886,0.025811447,-0.06912559,0.05186718,-0.09690671,-0.06756926,-0.12443091,-0.047640994,-0.02946673,-0.13047855,-0.034600634,0.0105656935,-0.056591198,0.056703698,-0.058266133,-0.060539234,-0.190285,-0.029478027,0.32014388,-0.02905951,-0.24668247,-0.05812463,0.18781161,-0.15303554,-0.087815724,-0.10753486,-0.1568268,0.06765192,-0.22398841,-0.08396212,-0.15473369,-0.03713049,-0.05181776,0.07696519,-0.18441206,-0.017171614,-0.20952053,-0.016928067,0.05954891,0.12751167,0.12108529,-0.25556132,0.20740163,-0.08093623,0.12053229,0.00586796,0.06363665,-0.09260846,0.03459324,-0.21816988,0.087467775,-0.011974124,-0.123352244,-0.12760988,-0.0388955,0.2746956,-0.05891055,0.17881526,-0.19973215,0.1805545,-0.05362482,0.0074829785,0.12969542,-0.15753397,-0.042137545,-0.11751468,-0.23207778,-0.09687271,-0.08888284
mobley_1139153, CC(C)CC(C)(C)C,2.89,-0.1525874,-0.12157664,-0.087513536,0.043940946,0.0064089852,0.040083602,0.114895955,-0.020806797,-0.17968783,0.2861326,-0.06955888,-0.011102637,0.1680931,0.23403738,-0.101784825,-0.05551781,-0.14810279,-0.07373481,-0.13991691,-0.23614645,-0.19925466,-0.15483332,-0.16538602,-0.07115845,-0.01053597,-0.12443486,-0.13213311,-0.11879372,-0.120141216,-0.020412322,0.09442891,-0.2203123,-0.22372603,-0.12668999,0.07734154,-0.0777742,0.05362048,-0.10573934,-0.12012179,0.052919626,-0.07579369,0.05953837,-0.12665522,-0.19686411,-0.07347295,-0.14375296,-0.2599676,-0.11709315,-0.051218253,0.124733,0.16577697,-0.1479502,-0.035213307,-0.010890955,-0.05300264,0.035137307,-0.124869354,-0.11444506,0.16993374,-0.17647585,-0.050270166,-0.08191342,-0.067030616,-0.1577732,-0.093213275,-0.12276431,-0.09278095,-0.05603671,-0.112609714,-0.06739727,0.011420728,0.043856796,0.026913302,-0.11537215,-0.11208436,-0.1983475,-0.003098728,0.46966508,-0.14046851,-0.24941781,-0.030595662,0.15151559,-0.1739174,-0.10461301,-0.11527355,-0.16585852,-0.091796204,-0.23531546,0.01458827,-0.23210338,-0.06455021,-0.150304,-0.08432813,-0.16538678,-0.002754932,-0.18660766,-0.03769144,-0.028498422,0.14125828,0.121674374,-0.2601716,0.13005897,-0.048867304,0.09708274,-0.033022597,0.06815184,-0.074113116,0.050854962,-0.24859303,0.065553464,-0.0071704676,-0.10082257,-0.05000021,0.015813611,0.27567008,-0.11132133,0.094574526,-0.20734805,0.02030711,0.026093407,-0.0089596715,0.15101543,-0.108397394,-0.13854684,-0.11739735,-0.2459618,-0.1058973,-0.023967655
mobley_1144156, CCOCC,-1.59,-0.12066398,-0.10509515,-0.06375509,0.053378917,0.03146787,0.103614345,0.07817126,-0.032853704,-0.1755644,0.2675824,-0.07325947,-0.037589576,0.15128903,0.2051523,-0.12210433,-0.029648589,-0.117332704,-0.09393103,-0.15191609,-0.19053417,-0.14295752,-0.11311371,-0.14228065,-0.073421665,0.0023752092,-0.08731227,-0.11832511,-0.09114525,-0.10006485,0.0089098895,0.014813594,-0.21344772,-0.19956854,-0.10985581,0.045444086,-0.08502443,0.016075011,-0.117839776,-0.121994995,0.03602535,-0.058543034,0.051383976,-0.13081542,-0.20072179,-0.09483104,-0.1445052,-0.21973863,-0.13771829,-0.03744306,0.062708594,0.09225241,-0.15133858,-0.008060203,-0.03475542,-0.077832386,0.068403274,-0.12747121,-0.08520348,0.1355055,-0.12957342,-0.064598195,-0.08172197,-0.05760529,-0.10866695,-0.094448,-0.14586374,-0.09041434,-0.036294222,-0.113559954,-0.08938975,0.009833618,-0.01995101,-0.03645454,-0.14098749,-0.11248644,-0.1759796,-0.031018425,0.38342425,-0.13784695,-0.1866085,-0.05398941,0.14333183,-0.17759456,-0.12308969,-0.10844468,-0.1546078,-0.12729208,-0.2370817,0.013674615,-0.19929215,-0.04727354,-0.12853585,-0.08848531,-0.15105598,0.03044943,-0.18011472,-0.0029711614,-0.03832431,0.12521262,0.07272633,-0.1899501,0.13583693,-0.083951145,0.106299564,0.0064616026,0.14237139,-0.119479574,0.057761747,-0.19527845,0.1035788,-0.0066871387,-0.11417759,-0.07315021,-0.012039023,0.22839226,-0.12105233,0.103686295,-0.16514622,0.04094182,-0.005543488,-0.00445891,0.13591541,-0.11611228,-0.118520655,-0.12314604,-0.21354066,-0.12851073,-0.04761551
