id,smiles,dG,schnet_0,schnet_1,schnet_2,schnet_3,schnet_4,schnet_5,schnet_6,schnet_7,schnet_8,schnet_9,schnet_10,schnet_11,schnet_12,schnet_13,schnet_14,schnet_15,schnet_16,schnet_17,schnet_18,schnet_19,schnet_20,schnet_21,schnet_22,schnet_23,schnet_24,schnet_25,schnet_26,schnet_27,schnet_28,schnet_29,schnet_30,schnet_31,schnet_32,schnet_33,schnet_34,schnet_35,schnet_36,schnet_37,schnet_38,schnet_39,schnet_40,schnet_41,schnet_42,schnet_43,schnet_44,schnet_45,schnet_46,schnet_47,schnet_48,schnet_49,schnet_50,schnet_51,schnet_52,schnet_53,schnet_54,schnet_55,schnet_56,schnet_57,schnet_58,schnet_59,schnet_60,schnet_61,schnet_62,schnet_63,schnet_64,schnet_65,schnet_66,schnet_67,schnet_68,schnet_69,schnet_70,schnet_71,schnet_72,schnet_73,schnet_74,schnet_75,schnet_76,schnet_77,schnet_78,schnet_79,schnet_80,schnet_81,schnet_82,schnet_83,schnet_84,schnet_85,schnet_86,schnet_87,schnet_88,schnet_89,schnet_90,schnet_91,schnet_92,schnet_93,schnet_94,schnet_95,schnet_96,schnet_97,schnet_98,schnet_99,schnet_100,schnet_101,schnet_102,schnet_103,schnet_104,schnet_105,schnet_106,schnet_107,schnet_108,schnet_109,schnet_110,schnet_111,schnet_112,schnet_113,schnet_114,schnet_115,schnet_116,schnet_117,schnet_118,schnet_119,schnet_120,schnet_121,schnet_122,schnet_123,schnet_124,schnet_125,schnet_126,schnet_127
mobley_1017962, CCCCCC(=O)OC,-2.49,-0.049760114,-0.50042135,0.5496279,-1.1134516,0.9648484,0.6516914,-0.18639776,0.26448888,-0.35860837,-0.64796305,-0.008344443,-0.80254304,0.3128548,1.1324466,0.69519573,-0.6390919,-1.7903845,0.7455826,-0.40069106,0.086450174,0.3197938,0.40155354,0.46132737,0.20049086,-0.029372796,-0.7146556,0.12847613,-1.3411655,1.1625804,-0.1321364,-1.0048162,0.5189783,-0.89768946,-0.426228,1.1785629,-0.75858474,0.7207304,-0.043228887,-1.3616521,0.6993589,0.5477767,0.28320315,-0.51014906,0.082675345,-0.69583917,-0.029188924,-0.65287375,0.22030284,0.40923122,0.8144291,-0.16074795,-0.4123867,0.98400944,-0.02674463,-0.7620835,-0.34246516,0.07221379,1.2766075,0.1115656,-0.2999878,-0.7162418,-0.5376841,1.3339938,0.18287,-0.9423658,0.6765131,1.0369862,-0.45865613,-0.0134668015,-0.54662454,-0.8722013,0.34738523,-0.93722665,0.28213435,-1.7318364,-0.029473715,-1.1055579,-0.3228954,-0.60554016,-0.6335315,-0.052832343,-0.25390223,-1.5740637,-0.7973271,1.1691816,-0.7420967,1.0477203,-0.2975129,-0.25591883,-0.78795034,0.75113016,-0.6379981,0.386594,-1.050401,0.15927435,0.09820004,-0.39588815,-0.6318094,0.60328084,-0.2599978,-0.48890752,-1.5061578,1.4351913,-0.3042134,0.03959703,-0.73451424,0.45428964,-0.4614922,-0.5222184,0.37724423,-0.2610989,0.67587,-0.18010618,0.009530444,-0.10719768,-0.83746547,-0.098096766,0.5176288,0.5102319,-0.6359718,-0.0035782263,0.1039,-0.5429594,-0.79921514,0.08006835,-0.5529965,0.53369325,-0.699048
mobley_1019269, CCCCO,-4.72,0.009696785,-0.6697665,0.5090187,-1.181401,1.0019938,0.7694002,-0.16899672,0.16793521,-0.31272513,-0.77309823,-0.09840169,-0.7452735,0.40931016,1.044186,0.68961334,-0.65309054,-1.9144279,0.7993602,-0.29753092,0.15249804,0.2484675,0.5520771,0.36558777,0.061714675,-0.022088107,-0.6441081,0.20939538,-1.372328,1.2144165,-0.075929165,-0.9728492,0.68980765,-0.9040611,-0.3414841,1.2678905,-0.7695517,0.84007543,-0.036016677,-1.3952854,0.73277307,0.5091241,0.30586588,-0.5278954,0.12890299,-0.76972276,0.0014308393,-0.8365698,0.25397754,0.33899677,0.86322826,-0.21145156,-0.38384983,1.1258996,0.01028422,-0.805968,-0.3254963,0.082124345,1.3568265,0.10461233,-0.44426587,-0.7429868,-0.64323574,1.2488933,0.16156368,-0.90249836,0.6029775,1.1573168,-0.5085574,-0.05542118,-0.61207944,-0.91805303,0.34916878,-1.0926927,0.2953917,-1.8025638,-0.013220793,-1.2071155,-0.25861442,-0.54253274,-0.46583733,0.0043358603,-0.28742132,-1.5866389,-0.8859484,1.2049631,-0.6863209,1.1855177,-0.28111896,-0.22642721,-0.8013733,0.77118284,-0.74881476,0.37718713,-0.92068684,0.122511305,0.1407053,-0.3912833,-0.68405545,0.6120835,-0.19842558,-0.49910742,-1.5803038,1.6081624,-0.37185258,0.0039765793,-0.73841923,0.4574682,-0.49396425,-0.5221111,0.4119635,-0.26985818,0.70329094,-0.2928926,-0.017033398,-0.06968851,-0.8877039,-0.09793806,0.37823036,0.5082073,-0.6083263,0.008138951,0.20410009,-0.64689404,-0.9618439,0.27549353,-0.700239,0.5833065,-0.67426586
mobley_1034539, c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl,-3.04,-0.2615166,-0.03289217,1.3179828,-0.38098305,0.3277605,-0.17033659,0.22030716,0.4912198,-0.11500248,-0.040721133,0.6496607,-1.1872176,-0.8049419,1.183605,0.48759758,-0.35060298,-0.6015531,0.7080669,-0.04583129,0.24947162,0.54932874,-1.08355,1.0226737,0.97331583,-0.6338982,-0.79875875,0.46146476,-1.0449537,0.57531583,-0.589442,-1.1211574,-1.3764724,-0.8974237,-1.0169902,-0.048998617,-0.6899504,0.5408675,-0.58055764,-1.8663545,0.35474122,0.73243165,0.086402535,-0.86833704,0.11011983,0.19947089,0.02059751,0.7463287,-0.7163039,0.51073223,-0.007947814,0.5561448,-0.2341792,0.21868749,-0.35220432,0.26076865,0.12019875,0.14077044,0.88892466,0.084310085,0.89486927,-0.43182448,0.5671989,1.6892334,-0.09990417,-0.94554955,0.7807032,-0.1720301,-0.19619964,0.7748733,-0.1965037,-0.20250297,0.15556175,0.3546871,0.13779828,-0.81001854,0.6819332,-1.0472457,-0.99154663,-0.51749605,-1.1961068,-0.58943087,0.14576249,-0.9090477,-0.4166763,0.97199386,-0.45418206,-0.115543865,-0.82101554,-0.32936767,-0.9494943,0.7269258,0.3937609,0.45645523,-1.3984846,0.45923024,0.27403536,-0.36580324,0.057532646,0.8971161,-0.7134987,-0.5159463,-1.173073,0.02475539,0.46994036,0.15851773,-0.31747723,1.3588468,-0.65129566,-0.276422,0.24715534,-0.46922627,0.30567273,0.10597348,0.11458271,-0.49605,-0.47166938,0.11184998,1.3917474,0.385668,-0.038790762,0.35864562,-0.8357115,-0.052632656,-0.07318792,-1.339674,0.50904757,-0.15343605,-0.45235404
mobley_1036761, C1CCC(CC1)N,-4.59,0.1949226,-0.7494792,0.57056314,-1.0550016,0.9649253,0.8194326,-0.10116179,0.20105448,-0.22417939,-0.73923117,-0.040938836,-0.77911717,0.38171282,1.0178548,0.7281011,-0.6822313,-1.8169352,0.88715285,-0.27322617,0.17994079,0.31099945,0.5307651,0.35318828,0.0370552,-0.16783234,-0.50668746,0.20885961,-1.2990677,1.169462,-0.1423555,-0.95827216,0.5164037,-0.7340828,-0.4142527,1.1863918,-0.66703475,0.80640686,-0.17690372,-1.5145795,0.78064847,0.5186622,0.25667974,-0.6646188,0.20224154,-0.700579,0.06748201,-0.814415,0.10762236,0.2120817,0.70892847,-0.12200034,-0.50682485,1.1454346,0.04309487,-0.7504843,-0.32179028,0.027423713,1.4188728,0.1826263,-0.36330637,-0.6106616,-0.45797616,1.2094704,0.093277074,-0.81140316,0.49235493,1.0570371,-0.38644248,0.114835456,-0.6320543,-0.908826,0.3365203,-0.9620455,0.42220378,-1.749737,0.100721896,-1.2210424,-0.4449587,-0.55561316,-0.36524272,-0.13958016,-0.191216,-1.5461905,-0.90524495,1.1230371,-0.59140587,1.0906031,-0.33188277,-0.22716896,-0.7192275,0.85938585,-0.77544415,0.3840209,-0.8358942,0.13780215,0.17272738,-0.24256583,-0.69381267,0.59931654,-0.21547744,-0.585493,-1.6205528,1.4832923,-0.31570005,0.022947207,-0.80597913,0.66226006,-0.5424589,-0.42463866,0.40410677,-0.3194104,0.60488474,-0.23798649,-0.09277622,-0.11664271,-0.917723,-0.03227226,0.42536077,0.48752365,-0.47422656,0.058859725,0.13134205,-0.6889517,-1.0109174,0.2212886,-0.43087897,0.45634103,-0.60938907
mobley_1046331, c1ccc(cc1)OC=O,-3.82,-0.24188417,0.09588611,0.7382223,-0.80944604,0.84403604,0.2508957,-0.22874832,0.61871135,-0.48997065,-0.20503731,0.3433695,-1.0666877,-0.062478557,1.4811356,0.7200572,-0.59088963,-1.3530194,0.6020482,-0.79736215,-0.14694974,0.616732,-0.17961653,0.8128786,0.69749653,-0.10966218,-0.96417433,-0.1500555,-1.2551068,0.97036535,-0.35386094,-1.1336827,-0.15964483,-0.8436285,-0.7664652,0.8283007,-0.7428106,0.29386872,-0.1055289,-1.3254256,0.6168414,0.72576463,0.18849848,-0.5184636,-0.03670512,-0.367925,-0.11335554,0.042963315,0.042165264,0.63326484,0.583896,0.045118008,-0.5710556,0.46588552,-0.13303667,-0.56860423,-0.38138816,0.05217012,1.034479,0.15468377,0.28222278,-0.5785779,-0.092894234,1.6825747,0.22548147,-1.0560937,0.9254681,0.56558955,-0.282896,0.22120835,-0.3031312,-0.6929347,0.35851035,-0.33382803,0.27158457,-1.5137643,-0.03912979,-0.75276923,-0.6238112,-0.86988485,-1.1861826,-0.30509982,-0.12767209,-1.5459048,-0.45688158,1.0748638,-0.9226849,0.5414621,-0.37058485,-0.3712589,-0.7380378,0.7403901,-0.2248148,0.42546245,-1.518821,0.31536332,-0.061571766,-0.35506472,-0.47851115,0.58754593,-0.5039448,-0.5162293,-1.2825205,0.80262244,-0.062208652,0.18331067,-0.7713679,0.5603551,-0.3813193,-0.5081008,0.2713545,-0.25969893,0.535537,0.25882837,0.10650428,-0.26950258,-0.6810226,-0.08137639,1.0951095,0.52769864,-0.6790197,0.004716142,-0.35496315,-0.17393023,-0.25576413,-0.6540052,0.038189627,0.2995709,-0.7886603
mobley_1075836, CCC(=O)OC,-2.93,-0.12321234,-0.37012506,0.5075916,-1.1652135,0.9202176,0.5391281,-0.23019853,0.3159046,-0.44245395,-0.55536795,0.0053404486,-0.7461901,0.29599896,1.1394389,0.6911278,-0.6265688,-1.6958727,0.63054866,-0.42635658,0.03696362,0.3010966,0.3679257,0.51180345,0.2938641,0.052833535,-0.767163,0.055920962,-1.2791427,1.1382657,-0.13712502,-1.003214,0.51143366,-0.9436134,-0.42420053,1.1672348,-0.7134339,0.6395404,0.010531738,-1.2036599,0.6171707,0.51020354,0.28971794,-0.3827013,-0.022640942,-0.747878,-0.09076243,-0.59027994,0.29011512,0.5006868,0.87121904,-0.16565202,-0.34083423,0.9045583,-0.09396087,-0.79091805,-0.3889966,0.04071607,1.1500473,0.086968206,-0.30818102,-0.7655547,-0.57397944,1.3208466,0.25135624,-1.0158824,0.7491372,1.0210354,-0.42033496,-0.12091637,-0.51717144,-0.86554825,0.31803936,-0.90754974,0.21386282,-1.6276346,-0.11843798,-1.0196707,-0.25251365,-0.58574814,-0.8233735,-0.014912903,-0.2412921,-1.5384753,-0.7747627,1.0907401,-0.81042415,0.9755105,-0.28546628,-0.26014087,-0.7818759,0.6394807,-0.58965003,0.38459924,-1.131459,0.14475016,0.08172821,-0.49109963,-0.5423142,0.5719813,-0.26376143,-0.379427,-1.388922,1.3398631,-0.25832638,0.037617296,-0.650181,0.26339188,-0.38159323,-0.5455973,0.324229,-0.20703854,0.7251287,-0.16048081,0.02444722,-0.08748089,-0.76592875,-0.12598899,0.48566744,0.495177,-0.74450827,-0.09223308,0.19721541,-0.46789074,-0.62714785,0.0035244226,-0.5565583,0.5910196,-0.714342
mobley_1079207, c1cc(cc(c1)Cl)Cl,-0.98,-0.16206323,-0.19181986,1.0911638,-0.56223816,0.5850603,0.15339112,0.087388285,0.43685302,-0.17189197,-0.25661305,0.45639983,-1.1364825,-0.43532756,1.2309145,0.5766738,-0.46249118,-1.0462679,0.782224,-0.2465101,0.1759389,0.5364693,-0.6009319,0.838353,0.703692,-0.47947013,-0.7771961,0.33037356,-1.190458,0.7825632,-0.45391357,-1.1040074,-0.7748644,-0.8505457,-0.85970896,0.36422575,-0.74847245,0.58503246,-0.4263895,-1.7854171,0.5354922,0.7269256,0.13813889,-0.8299,0.15648872,-0.039915066,0.03159192,0.29847616,-0.44347835,0.4468015,0.21966773,0.32405612,-0.39218998,0.47016558,-0.19550152,-0.07427219,-0.031644028,0.134432,1.0876821,0.12302371,0.5578688,-0.47539672,0.25841638,1.6339312,-0.034326136,-0.91082567,0.7355652,0.21234159,-0.2914548,0.60075927,-0.30484197,-0.43076882,0.25530192,-0.04509781,0.24483107,-1.2041172,0.47245774,-1.0632266,-0.8489476,-0.62220114,-0.9448076,-0.4628022,0.006827444,-1.1894779,-0.5113311,1.0900384,-0.55062777,0.28752956,-0.6420241,-0.3215498,-0.8809977,0.8209395,0.04099697,0.438936,-1.2976612,0.3863958,0.18518062,-0.29494467,-0.2482151,0.80391294,-0.58503217,-0.5962749,-1.3471984,0.5156174,0.18360837,0.14375095,-0.55292845,1.1776475,-0.62292427,-0.3508847,0.3169192,-0.4300432,0.38209006,0.070900835,0.082330026,-0.39397836,-0.63697064,0.0553814,1.1969792,0.4494579,-0.19557893,0.28846255,-0.638482,-0.22482091,-0.37614298,-0.88095015,0.22196467,0.020418316,-0.5550644
mobley_1107178, CCI,-0.74,0.4500199,-0.61707944,0.3824364,-0.896402,0.9445969,0.71136934,-0.3521971,0.092399776,-0.12971632,-0.50771147,-0.23781691,-0.72123855,0.3201766,0.981004,0.5391429,-0.4922571,-1.6689004,0.61730206,-0.28527838,0.2519303,0.35761723,0.48752296,0.14497773,0.0627489,0.008574238,-0.77445877,0.15288064,-1.0897851,1.0003172,0.0037233233,-1.0432057,0.7948265,-0.696302,-0.3799025,0.8929003,-0.6593183,0.68928844,0.054460026,-1.3719984,0.7348464,0.8251285,0.15781471,-0.7493028,0.15570559,-0.6559396,-0.036901586,-0.7138493,0.16941656,0.17477578,0.91189694,-0.0070722103,-0.66073066,1.1813105,0.08500344,-0.6743813,-0.26024607,-0.071129605,1.6087563,0.25950098,-0.433487,-0.54893255,-0.3647842,1.1051544,0.1446584,-0.6419256,0.569327,1.1027433,-0.39435405,-0.023334496,-0.73207724,-0.6753889,0.28982955,-1.0391265,0.5844362,-1.6291283,0.060027562,-1.0197537,-0.20194435,-0.2618361,-0.07407451,0.09277869,-0.22748083,-1.5314705,-0.78565574,1.1087289,-0.68496597,1.2350146,-0.10918737,-0.211489,-0.74640983,0.85512376,-0.8129408,0.1849449,-0.5288093,0.051068626,0.34053242,-0.3488406,-0.8768413,0.47074863,-0.36496124,-0.5146561,-1.5499108,1.5872103,-0.4792722,0.035432488,-0.5713214,0.41498065,-0.58527625,-0.5241448,0.4722033,-0.2059888,0.4085752,-0.32330865,0.06550183,-0.20950851,-0.6976497,0.015185822,0.51673585,0.5524731,-0.3740162,-0.02368863,0.10615151,-0.59559906,-1.1812251,0.20725918,-0.770357,0.3345666,-0.44822714
mobley_1139153, CC(C)CC(C)(C)C,2.89,0.083419934,-0.7735192,0.5827871,-1.0829737,1.0463582,0.8711277,-0.11739619,0.13957144,-0.21926829,-0.84480375,-0.078722514,-0.84536266,0.39119264,1.0721141,0.6974513,-0.66402614,-1.9891752,0.93146133,-0.3066259,0.1911712,0.30381334,0.5336623,0.33814445,-0.005267111,-0.13583232,-0.60327214,0.2728307,-1.4426359,1.2252171,-0.09299366,-0.9885307,0.62769,-0.8395447,-0.3800665,1.2453473,-0.82569194,0.89887744,-0.11143807,-1.5937377,0.82927406,0.57605624,0.2875079,-0.6919515,0.2511171,-0.66841197,0.07136374,-0.843113,0.14575246,0.2455985,0.7661345,-0.18339841,-0.49224374,1.1728226,0.08510157,-0.74858576,-0.270037,0.12033216,1.493257,0.14066598,-0.37219584,-0.6652887,-0.5497202,1.3025951,0.07838486,-0.8204011,0.5363255,1.12788,-0.53903157,0.10697244,-0.6240354,-0.90761054,0.38791817,-1.0668683,0.3816868,-1.9129118,0.09966265,-1.2797663,-0.38055474,-0.5958329,-0.28122747,-0.070896186,-0.2902153,-1.6292256,-0.87883,1.295419,-0.61793905,1.2244244,-0.30427152,-0.23322096,-0.8038715,0.912996,-0.76701486,0.3838522,-0.8664493,0.15761667,0.14489593,-0.2650622,-0.78242564,0.6504934,-0.21940891,-0.64216983,-1.7067515,1.6633089,-0.40500706,0.021711804,-0.8502922,0.71310127,-0.5877825,-0.49068493,0.46864125,-0.33892584,0.6253801,-0.27159405,-0.025875112,-0.11209957,-0.96274865,-0.06045797,0.4802315,0.52933013,-0.47391573,0.12252475,0.036090862,-0.7039757,-1.1246685,0.29585344,-0.6331494,0.48514634,-0.6641626
mobley_1144156, CCOCC,-1.59,0.009696785,-0.6697664,0.5090187,-1.181401,1.0019938,0.7694002,-0.16899672,0.16793521,-0.31272513,-0.77309823,-0.09840169,-0.7452734,0.40931016,1.044186,0.68961334,-0.65309054,-1.9144279,0.7993602,-0.29753095,0.15249804,0.24846748,0.5520771,0.36558777,0.061714675,-0.022088107,-0.6441081,0.20939538,-1.372328,1.2144165,-0.075929165,-0.97284925,0.68980765,-0.9040611,-0.3414841,1.2678905,-0.7695517,0.84007543,-0.036016677,-1.3952854,0.73277307,0.5091241,0.30586588,-0.5278954,0.12890299,-0.76972276,0.0014308472,-0.8365698,0.25397754,0.33899674,0.86322826,-0.21145156,-0.38384983,1.1258996,0.01028422,-0.805968,-0.3254963,0.082124345,1.3568265,0.10461233,-0.44426587,-0.7429868,-0.64323574,1.2488933,0.1615637,-0.90249836,0.6029775,1.1573168,-0.5085574,-0.05542118,-0.61207944,-0.91805303,0.34916878,-1.0926927,0.2953917,-1.8025638,-0.013220793,-1.2071155,-0.25861442,-0.5425328,-0.46583733,0.0043358603,-0.28742132,-1.5866389,-0.8859484,1.2049631,-0.68632096,1.1855177,-0.28111893,-0.22642721,-0.8013733,0.77118284,-0.74881476,0.37718713,-0.92068684,0.12251132,0.1407053,-0.3912833,-0.68405545,0.6120835,-0.19842555,-0.49910742,-1.5803038,1.6081624,-0.37185258,0.0039765793,-0.73841923,0.4574682,-0.49396425,-0.5221111,0.4119635,-0.26985818,0.70329094,-0.29289258,-0.017033398,-0.06968851,-0.8877039,-0.09793806,0.37823036,0.5082073,-0.6083263,0.008138951,0.20410006,-0.64689404,-0.9618439,0.27549353,-0.700239,0.5833065,-0.67426586
