sample_id,component,center_eV,area,area_fraction,fwhm_eV,eta
PET_001,C-C_C-H,284.7302,55877.209,0.69785,1.3066,0.3461
PET_001,C-O,286.1503,17553.735,0.21923,1.1842,0.4376
PET_001,O-C=O,288.6017,6640.012,0.08293,1.2899,0.3897
PET_002,C-C_C-H,284.6792,54433.945,0.68711,0.9749,0.4122
PET_002,C-O,286.1454,17333.335,0.2188,1.0777,0.2415
PET_002,O-C=O,288.7876,7454.402,0.0941,1.1092,0.309
PET_003,C-C_C-H,284.7405,60764.334,0.66257,1.4162,0.2336
PET_003,C-O,286.2205,21452.008,0.23391,1.2774,0.2763
PET_003,O-C=O,288.5698,9494.321,0.10352,1.327,0.3029
PET_004,C-C_C-H,284.7894,62470.353,0.64587,1.2747,0.3567
PET_004,C-O,286.3995,23712.242,0.24516,1.3063,0.2445
PET_004,O-C=O,288.7657,10540.159,0.10897,1.2772,0.4866
PET_005,C-C_C-H,284.8946,62218.655,0.61483,1.2698,0.3069
PET_005,C-O,286.4326,25416.852,0.25116,1.4996,0.3942
PET_005,O-C=O,288.7283,13561.162,0.13401,1.3628,0.3998
PET_006,C-C_C-H,284.954,54423.014,0.61501,1.3244,0.3096
PET_006,C-O,286.417,25847.47,0.29209,1.2358,0.4776
PET_006,O-C=O,288.7251,8220.517,0.0929,1.3468,0.2334
PET_007,C-C_C-H,284.7654,49199.254,0.66941,1.4625,0.3515
PET_007,C-O,286.3755,14569.312,0.19823,1.5032,0.4696
PET_007,O-C=O,288.7326,9728.402,0.13236,1.5484,0.2039
PET_008,C-C_C-H,285.0745,70641.257,0.6233,1.0298,0.33
PET_008,C-O,286.5582,34086.214,0.30076,0.9895,0.488
PET_008,O-C=O,288.7944,8606.923,0.07594,1.135,0.4002
PET_009,C-C_C-H,284.8246,54124.069,0.62702,1.2759,0.4114
PET_009,C-O,286.3733,21789.689,0.25243,1.0556,0.2821
PET_009,O-C=O,288.6042,10406.017,0.12055,1.216,0.3825
PET_010,C-C_C-H,284.8295,70994.09,0.73595,1.2416,0.2387
PET_010,C-O,286.2951,18226.447,0.18894,1.2963,0.2063
PET_010,O-C=O,288.5237,7244.777,0.0751,1.1249,0.2302
PET_011,C-C_C-H,284.8599,45003.055,0.57974,1.2146,0.2003
PET_011,C-O,286.3434,18116.644,0.23338,1.1381,0.4319
PET_011,O-C=O,288.7042,14507.097,0.18688,1.1568,0.3523
PET_012,C-C_C-H,285.0169,59760.354,0.6181,1.3075,0.3936
PET_012,C-O,286.3403,19019.538,0.19672,1.227,0.2227
PET_012,O-C=O,288.8685,17903.83,0.18518,1.209,0.4215
PET_013,C-C_C-H,284.736,48507.89,0.52641,1.0345,0.3443
PET_013,C-O,286.1829,27463.381,0.29803,1.0903,0.2356
PET_013,O-C=O,288.6931,16177.148,0.17556,1.1783,0.4815
PET_014,C-C_C-H,284.7797,62784.086,0.58494,0.9629,0.4158
PET_014,C-O,286.2495,30100.785,0.28044,1.1573,0.2628
PET_014,O-C=O,288.7163,14449.809,0.13462,1.1148,0.452
PET_015,C-C_C-H,284.9232,56076.227,0.66246,1.0584,0.4272
PET_015,C-O,286.4415,17501.72,0.20676,1.0774,0.4604
PET_015,O-C=O,288.8262,11071.108,0.13079,1.2297,0.3558
PET_016,C-C_C-H,284.8487,65377.434,0.60077,1.4494,0.4553
PET_016,C-O,286.2558,33327.154,0.30625,1.4435,0.3967
PET_016,O-C=O,288.7318,10118.324,0.09298,1.3943,0.2805
PET_017,C-C_C-H,284.7998,59139.325,0.63966,1.3711,0.3113
PET_017,C-O,286.276,21399.93,0.23147,1.4678,0.2815
PET_017,O-C=O,288.7587,11914.53,0.12887,1.3549,0.3206
PET_018,C-C_C-H,284.7833,59601.665,0.57891,1.4659,0.3957
PET_018,C-O,286.4815,26996.891,0.26222,1.5054,0.3615
PET_018,O-C=O,288.776,16357.084,0.15888,1.2878,0.3578
PET_019,C-C_C-H,284.7376,50397.292,0.51538,1.2151,0.4931
PET_019,C-O,286.4097,28450.808,0.29095,1.1926,0.2557
PET_019,O-C=O,288.631,18938.209,0.19367,1.357,0.2988
PET_020,C-C_C-H,284.8743,37505.388,0.55755,1.3643,0.3094
PET_020,C-O,286.1846,16227.528,0.24124,1.4752,0.4143
PET_020,O-C=O,288.7076,13535.448,0.20122,1.5907,0.3173
PET_021,C-C_C-H,284.9109,55366.946,0.55017,1.5886,0.2483
PET_021,C-O,286.1341,27430.401,0.27257,1.3628,0.4319
PET_021,O-C=O,288.7327,17839.357,0.17726,1.372,0.4442
PET_022,C-C_C-H,284.6854,67802.622,0.63428,1.4513,0.2509
PET_022,C-O,286.2928,22217.418,0.20784,1.3831,0.3067
PET_022,O-C=O,288.6572,16877.113,0.15788,1.4475,0.4819
PET_023,C-C_C-H,284.8737,30260.592,0.52965,1.245,0.3681
PET_023,C-O,286.3218,16796.758,0.29399,1.1969,0.3768
PET_023,O-C=O,288.7452,10076.035,0.17636,1.2533,0.32
PET_024,C-C_C-H,284.9654,50683.609,0.54435,1.3197,0.373
PET_024,C-O,286.3461,26166.597,0.28103,1.5098,0.3587
PET_024,O-C=O,288.8878,16257.794,0.17461,1.377,0.4713
PET_025,C-C_C-H,284.7313,44534.124,0.47435,1.5524,0.2871
PET_025,C-O,286.3381,25373.974,0.27027,1.422,0.2139
PET_025,O-C=O,288.6956,23977.279,0.25539,1.4972,0.4061
PET_026,C-C_C-H,284.8753,15245.729,0.51109,1.3177,0.4155
PET_026,C-O,286.3795,9431.143,0.31617,1.5079,0.2145
PET_026,O-C=O,288.5231,5152.705,0.17274,1.396,0.2499
PET_027,C-C_C-H,284.7813,47737.916,0.5213,1.39,0.2575
PET_027,C-O,286.2066,25909.786,0.28294,1.2708,0.3725
PET_027,O-C=O,288.7568,17926.289,0.19576,1.2343,0.229
PET_028,C-C_C-H,284.896,30430.827,0.6063,1.2721,0.47
PET_028,C-O,286.3315,16047.711,0.31973,1.1454,0.4734
PET_028,O-C=O,288.6889,3712.511,0.07397,1.3156,0.2221
PET_029,C-C_C-H,284.8255,52116.175,0.53202,1.1076,0.2322
PET_029,C-O,286.3354,32791.628,0.33475,0.9823,0.2912
PET_029,O-C=O,288.7793,13051.166,0.13323,1.1936,0.351
PET_030,C-C_C-H,284.6867,53170.733,0.59853,1.0602,0.4558
PET_030,C-O,286.1275,20860.755,0.23482,1.1674,0.4589
PET_030,O-C=O,288.5982,14804.435,0.16665,1.0182,0.2088
PET_031,C-C_C-H,284.901,45399.077,0.51179,1.2378,0.4675
PET_031,C-O,286.339,18250.766,0.20574,1.1207,0.4838
PET_031,O-C=O,288.7339,25056.959,0.28247,1.0803,0.3869
PET_032,C-C_C-H,284.8425,30040.178,0.44573,1.3348,0.4044
PET_032,C-O,286.2974,24231.535,0.35954,1.2316,0.204
PET_032,O-C=O,288.6719,13124.325,0.19473,1.2541,0.3396
PET_033,C-C_C-H,284.9937,57535.268,0.44648,1.2951,0.3674
