sample_id,total_peak_area,energy_shift_eV,bg_offset,bg_linear_slope,bg_shirley_ratio,bg_quadratic,noise_count_scale,noise_gaussian_sigma,area_frac_CC_CH,area_frac_CO,area_frac_OCO
PET_001,80070.957,-0.0954,586.496,3.174,0.04958,0.19079,1.542,9.859,0.69785,0.21923,0.08293
PET_002,79221.683,-0.0485,663.704,3.3381,0.03184,-0.28288,1.2458,15.682,0.68711,0.2188,0.0941
PET_003,91710.663,-0.062,663.413,-1.2188,0.03412,-0.3977,1.1331,8.113,0.66257,0.23391,0.10352
PET_004,96722.754,0.0735,365.293,-1.0782,0.0509,-0.43597,0.8292,19.897,0.64587,0.24516,0.10897
PET_005,101196.669,0.0078,610.409,6.4685,0.0394,-0.23262,1.3661,24.439,0.61483,0.25116,0.13401
PET_006,88491.001,0.0801,704.381,1.2971,0.04894,0.41137,0.9716,16.439,0.61501,0.29209,0.0929
PET_007,73496.967,0.0558,347.237,2.0611,0.03894,-0.4598,4.4351,25.508,0.66941,0.19823,0.13236
PET_008,113334.394,0.1639,707.143,-5.7356,0.03448,-0.11575,1.0186,20.684,0.6233,0.30076,0.07594
PET_009,86319.774,-0.0328,516.986,5.1415,0.05273,0.07643,1.286,15.084,0.62702,0.25243,0.12055
PET_010,96465.314,0.0369,694.942,5.0429,0.03603,0.27067,1.5217,14.3,0.73595,0.18894,0.0751
PET_011,77626.796,0.1129,336.236,-7.7348,0.03501,-0.44961,1.0683,8.5,0.57974,0.23338,0.18688
PET_012,96683.722,0.1414,746.162,-1.7943,0.04054,0.00242,1.4679,18.226,0.6181,0.19672,0.18518
PET_013,92148.419,-0.0949,564.268,-7.1432,0.04675,0.04531,1.4479,23.253,0.52641,0.29803,0.17556
PET_014,107334.68,-0.0117,417.201,-3.174,0.03795,-0.42437,0.9709,12.771,0.58494,0.28044,0.13462
PET_015,84649.056,0.1134,439.945,-6.2281,0.04915,0.15599,1.4819,19.415,0.66246,0.20676,0.13079
PET_016,108822.912,0.0184,377.218,-2.4244,0.04888,0.25184,0.9577,10.323,0.60077,0.30625,0.09298
PET_017,92453.785,-0.0167,483.345,6.0991,0.04472,0.04804,1.4588,17.528,0.63966,0.23147,0.12887
PET_018,102955.64,0.0916,795.796,0.3605,0.04837,0.39472,0.9825,12.239,0.57891,0.26222,0.15888
PET_019,97786.309,0.0253,318.496,1.2018,0.05115,-0.23817,0.9983,20.345,0.51538,0.29095,0.19367
PET_020,67268.364,-0.0346,611.438,6.8977,0.03005,-0.4311,1.1271,21.996,0.55755,0.24124,0.20122
PET_021,100636.705,-0.0201,762.587,0.9896,0.03435,0.30853,1.4364,20.535,0.55017,0.27257,0.17726
