sample_id,treatment_group,treatment,power_W,time_s,replicate
PET_001,G1,untreated,0,0,1
PET_002,G1,untreated,0,0,2
PET_003,G1,untreated,0,0,3
PET_004,G1,untreated,0,0,4
PET_005,G1,untreated,0,0,5
PET_006,G1,untreated,0,0,6
PET_007,G1,untreated,0,0,7
PET_008,G1,untreated,0,0,8
PET_009,G1,untreated,0,0,9
PET_010,G1,untreated,0,0,10
PET_011,G2,O2_plasma,50,10,1
PET_012,G2,O2_plasma,50,10,2
PET_013,G2,O2_plasma,50,10,3
PET_014,G2,O2_plasma,50,10,4
PET_015,G2,O2_plasma,50,10,5
PET_016,G2,O2_plasma,50,10,6
PET_017,G2,O2_plasma,50,10,7
PET_018,G2,O2_plasma,50,10,8
PET_019,G2,O2_plasma,50,10,9
PET_020,G2,O2_plasma,50,10,10
PET_021,G3,O2_plasma,100,30,1
PET_022,G3,O2_plasma,100,30,2
PET_023,G3,O2_plasma,100,30,3
PET_024,G3,O2_plasma,100,30,4
PET_025,G3,O2_plasma,100,30,5
PET_026,G3,O2_plasma,100,30,6
PET_027,G3,O2_plasma,100,30,7
PET_028,G3,O2_plasma,100,30,8
PET_029,G3,O2_plasma,100,30,9
PET_030,G3,O2_plasma,100,30,10
PET_031,G4,O2_plasma,150,60,1
PET_032,G4,O2_plasma,150,60,2
PET_033,G4,O2_plasma,150,60,3
PET_034,G4,O2_plasma,150,60,4
PET_035,G4,O2_plasma,150,60,5
PET_036,G4,O2_plasma,150,60,6
PET_037,G4,O2_plasma,150,60,7
PET_038,G4,O2_plasma,150,60,8
PET_039,G4,O2_plasma,150,60,9
PET_040,G4,O2_plasma,150,60,10
PET_041,G5,O2_plasma,200,120,1
PET_042,G5,O2_plasma,200,120,2
PET_043,G5,O2_plasma,200,120,3
PET_044,G5,O2_plasma,200,120,4
PET_045,G5,O2_plasma,200,120,5
PET_046,G5,O2_plasma,200,120,6
PET_047,G5,O2_plasma,200,120,7
PET_048,G5,O2_plasma,200,120,8
PET_049,G5,O2_plasma,200,120,9
PET_050,G5,O2_plasma,200,120,10
