binding_energy_eV,intensity_cps
292.0,555.81
291.95,638.63
291.9,624.39
291.85,651.8
291.8,661.39
291.75,614.66
291.7,621.71
291.65,672.02
291.6,604.18
291.55,680.93
291.5,699.79
291.45,706.76
291.4,706.53
291.35,727.4
291.3,681.84
291.25,771.13
291.2,750.36
291.15,730.19
291.1,822.95
291.05,795.14
291.0,769.41
290.95,730.88
290.9,797.03
290.85,815.08
290.8,840.54
290.75,851.49
290.7,808.31
290.65,838.84
290.6,917.49
290.55,872.05
290.5,912.3
290.45,946.48
290.4,956.41
290.35,1003.19
290.3,1023.2
290.25,1123.18
290.2,1148.54
290.15,1230.93
290.1,1296.49
290.05,1260.87
290.0,1338.37
289.95,1504.74
289.9,1569.73
289.85,1654.11
289.8,1718.55
289.75,1969.43
289.7,2081.05
289.65,2295.76
289.6,2462.24
289.55,2733.48
289.5,3098.24
289.45,3285.17
289.4,3775.62
289.35,3963.21
289.3,4299.41
289.25,4742.17
289.2,5058.59
289.15,5425.9
289.1,5985.67
289.05,6163.47
289.0,6671.95
288.95,7269.6
288.9,7249.01
288.85,7651.91
288.8,7923.67
288.75,8198.13
288.7,8430.33
288.65,8453.04
288.6,8582.38
288.55,8579.11
288.5,8533.67
288.45,8375.05
288.4,8130.74
288.35,7889.81
288.3,7662.13
288.25,7438.68
288.2,7083.22
288.15,6689.2
288.1,6348.62
288.05,6031.69
288.0,5875.3
287.95,5577.08
287.9,5284.68
287.85,5079.87
287.8,5091.54
287.75,4598.34
287.7,4598.95
287.65,4444.98
287.6,4647.7
287.55,4691.46
287.5,4634.23
287.45,4761.89
287.4,5056.91
287.35,5257.01
287.3,5620.78
287.25,5868.07
287.2,6302.79
287.15,6630.6
287.1,7164.71
287.05,7777.97
287.0,8359.04
286.95,9174.07
286.9,9853.59
286.85,10468.76
286.8,11126.17
286.75,11783.31
286.7,12596.39
286.65,13312.37
286.6,13934.24
286.55,14269.27
286.5,15224.16
286.45,15548.58
286.4,15781.66
286.35,16222.26
286.3,16347.42
286.25,16643.28
286.2,16486.49
286.15,16826.71
286.1,16464.77
286.05,16464.26
286.0,16284.46
285.95,16465.9
285.9,16220.25
285.85,16149.24
285.8,16083.95
285.75,15950.93
285.7,16199.52
285.65,16288.84
285.6,16526.99
285.55,16969.87
285.5,16934.66
285.45,17633.76
285.4,17789.15
285.35,18460.89
285.3,19016.25
285.25,19697.76
285.2,20326.18
285.15,20802.55
285.1,21384.58
285.05,22071.58
285.0,22441.51
284.95,23008.8
284.9,22865.16
284.85,23297.57
284.8,23571.97
284.75,23993.51
284.7,23618.91
284.65,23429.43
284.6,23366.41
284.55,22699.88
284.5,22319.38
284.45,21532.73
284.4,21042.24
284.35,20556.33
284.3,18985.05
284.25,18611.6
284.2,17690.92
284.15,16975.75
284.1,16003.71
284.05,15213.43
284.0,14127.96
283.95,13198.07
283.9,12005.84
283.85,11705.29
283.8,10798.14
283.75,10132.09
283.7,9444.13
283.65,8876.38
283.6,8205.12
283.55,7752.29
283.5,6953.81
283.45,6453.49
283.4,6236.44
283.35,5787.71
283.3,5695.09
283.25,5508.18
283.2,4961.02
283.15,5022.78
283.1,4747.27
283.05,4534.82
283.0,4424.24
282.95,4244.87
282.9,4141.98
282.85,4018.45
282.8,3954.23
282.75,3919.71
282.7,3827.67
282.65,3747.16
282.6,3728.2
282.55,3623.59
282.5,3631.43
282.45,3657.13
282.4,3588.93
282.35,3502.54
282.3,3425.5
282.25,3458.72
282.2,3513.75
282.15,3650.68
282.1,3388.68
282.05,3536.55
282.0,3573.9
